Names,iteration_71_kmedoids_label
Bamidbar_CH1,1
Bamidbar_CH10,1
Bamidbar_CH11,1
Bamidbar_CH13,1
Bamidbar_CH14,1
Bamidbar_CH15,1
Bamidbar_CH16,1
Bamidbar_CH17,1
Bamidbar_CH18,1
Bamidbar_CH19,0
Bamidbar_CH2,1
Bamidbar_CH20,1
Bamidbar_CH21,1
Bamidbar_CH22,1
Bamidbar_CH23,1
Bamidbar_CH24,1
Bamidbar_CH25,1
Bamidbar_CH26,0
Bamidbar_CH27,1
Bamidbar_CH28,0
Bamidbar_CH29,0
Bamidbar_CH3,1
Bamidbar_CH30,0
Bamidbar_CH31,1
Bamidbar_CH32,1
Bamidbar_CH33,1
Bamidbar_CH34,1
Bamidbar_CH35,1
Bamidbar_CH36,1
Bamidbar_CH4,1
Bamidbar_CH5,0
Bamidbar_CH6,0
Bamidbar_CH7,0
Bamidbar_CH8,1
Bamidbar_CH9,1
Beereshit_CH1,0
Beereshit_CH10,1
Beereshit_CH11,1
Beereshit_CH12,1
Beereshit_CH13,1
Beereshit_CH14,1
Beereshit_CH15,1
Beereshit_CH16,1
Beereshit_CH17,1
Beereshit_CH18,1
Beereshit_CH19,1
Beereshit_CH2,0
Beereshit_CH20,1
Beereshit_CH21,1
Beereshit_CH22,1
Beereshit_CH23,1
Beereshit_CH24,1
Beereshit_CH25,1
Beereshit_CH26,1
Beereshit_CH27,1
Beereshit_CH28,1
Beereshit_CH29,0
Beereshit_CH3,1
Beereshit_CH30,1
Beereshit_CH31,1
Beereshit_CH32,1
Beereshit_CH33,1
Beereshit_CH34,1
Beereshit_CH35,1
Beereshit_CH36,1
Beereshit_CH37,1
Beereshit_CH38,1
Beereshit_CH39,1
Beereshit_CH4,1
Beereshit_CH40,1
Beereshit_CH41,1
Beereshit_CH42,1
Beereshit_CH43,1
Beereshit_CH44,1
Beereshit_CH45,1
Beereshit_CH46,1
Beereshit_CH47,1
Beereshit_CH48,1
Beereshit_CH49,1
Beereshit_CH5,1
Beereshit_CH50,1
Beereshit_CH6,1
Beereshit_CH7,0
Beereshit_CH8,0
Beereshit_CH9,1
Dvarim_CH1,1
Dvarim_CH10,1
Dvarim_CH11,1
Dvarim_CH12,1
Dvarim_CH13,1
Dvarim_CH14,0
Dvarim_CH15,1
Dvarim_CH16,1
Dvarim_CH17,1
Dvarim_CH18,1
Dvarim_CH19,1
Dvarim_CH2,1
Dvarim_CH20,1
Dvarim_CH21,1
Dvarim_CH22,1
Dvarim_CH23,1
Dvarim_CH24,1
Dvarim_CH25,1
Dvarim_CH26,1
Dvarim_CH27,1
Dvarim_CH28,1
Dvarim_CH29,1
Dvarim_CH3,1
Dvarim_CH30,1
Dvarim_CH31,1
Dvarim_CH32,1
Dvarim_CH33,1
Dvarim_CH4,1
Dvarim_CH5,1
Dvarim_CH6,1
Dvarim_CH7,1
Dvarim_CH8,1
Dvarim_CH9,1
Shmot_CH1,1
Shmot_CH10,1
Shmot_CH12,1
Shmot_CH13,1
Shmot_CH14,1
Shmot_CH15,1
Shmot_CH16,1
Shmot_CH17,1
Shmot_CH18,1
Shmot_CH19,1
Shmot_CH2,0
Shmot_CH20,1
Shmot_CH21,1
Shmot_CH22,0
Shmot_CH23,1
Shmot_CH24,1
Shmot_CH25,0
Shmot_CH26,0
Shmot_CH27,0
Shmot_CH28,1
Shmot_CH29,1
Shmot_CH3,1
Shmot_CH30,1
Shmot_CH31,1
Shmot_CH32,1
Shmot_CH33,1
Shmot_CH34,1
Shmot_CH35,1
Shmot_CH36,0
Shmot_CH37,0
Shmot_CH38,0
Shmot_CH39,0
Shmot_CH4,1
Shmot_CH40,0
Shmot_CH5,1
Shmot_CH6,1
Shmot_CH7,1
Shmot_CH8,1
Shmot_CH9,1
Vaikra_CH1,0
Vaikra_CH10,1
Vaikra_CH11,0
Vaikra_CH13,0
Vaikra_CH14,0
Vaikra_CH15,0
Vaikra_CH16,1
Vaikra_CH17,1
Vaikra_CH18,1
Vaikra_CH19,1
Vaikra_CH2,1
Vaikra_CH20,1
Vaikra_CH21,0
Vaikra_CH22,1
Vaikra_CH23,1
Vaikra_CH24,1
Vaikra_CH25,1
Vaikra_CH26,1
Vaikra_CH27,0
Vaikra_CH3,0
Vaikra_CH4,1
Vaikra_CH5,1
Vaikra_CH6,1
Vaikra_CH7,0
Vaikra_CH8,0
Vaikra_CH9,0
